"","y","count","x","xmin","xmax","density","ncount","ndensity","flipped_aes","PANEL","group","ymin","ymax","colour","fill","size","linetype","alpha"
"1",505,505,1990,1989.5,1990.5,0.010278015223674,0.188222139396198,0.188222139396198,FALSE,"1",-1,0,505,"gray40","orange",0.5,1,NA
"2",524,524,1991,1990.5,1991.5,0.0106647128261489,0.195303764442788,0.195303764442788,FALSE,"1",-1,0,524,"gray40","orange",0.5,1,NA
"3",495,495,1992,1991.5,1992.5,0.0100744901697399,0.184494968319046,0.184494968319046,FALSE,"1",-1,0,495,"gray40","orange",0.5,1,NA
"4",583,583,1993,1992.5,1993.5,0.0118655106443603,0.217294073797987,0.217294073797987,FALSE,"1",-1,0,583,"gray40","orange",0.5,1,NA
"5",775,775,1994,1993.5,1994.5,0.0157731916798958,0.288855758479314,0.288855758479314,FALSE,"1",-1,0,775,"gray40","orange",0.5,1,NA
"6",959,959,1995,1994.5,1995.5,0.019518052672284,0.357435706298919,0.357435706298919,FALSE,"1",-1,0,959,"gray40","orange",0.5,1,NA
"7",940,940,1996,1995.5,1996.5,0.0191313550698091,0.350354081252329,0.35035408125233,FALSE,"1",-1,0,940,"gray40","orange",0.5,1,NA
"8",1038,1038,1997,1996.5,1997.5,0.0211259005983637,0.386880357808423,0.386880357808423,FALSE,"1",-1,0,1038,"gray40","orange",0.5,1,NA
"9",1188,1188,1998,1997.5,1998.5,0.0241787764073757,0.44278792396571,0.44278792396571,FALSE,"1",-1,0,1188,"gray40","orange",0.5,1,NA
"10",1264,1264,1999,1998.5,1999.5,0.0257255668172752,0.471114424152069,0.471114424152069,FALSE,"1",-1,0,1264,"gray40","orange",0.5,1,NA
"11",1279,1279,2000,1999.5,2000.5,0.0260308543981764,0.476705180767797,0.476705180767797,FALSE,"1",-1,0,1279,"gray40","orange",0.5,1,NA
"12",1361,1361,2001,2000.5,2001.5,0.0276997598404364,0.507267983600447,0.507267983600447,FALSE,"1",-1,0,1361,"gray40","orange",0.5,1,NA
"13",1490,1490,2002,2001.5,2002.5,0.0303252330361868,0.555348490495714,0.555348490495714,FALSE,"1",-1,0,1490,"gray40","orange",0.5,1,NA
"14",1796,1796,2003,2002.5,2003.5,0.0365530996865714,0.669399925456578,0.669399925456578,FALSE,"1",-1,0,1796,"gray40","orange",0.5,1,NA
"15",1981,1981,2004,2003.5,2004.5,0.040318313184353,0.738352590383899,0.738352590383899,FALSE,"1",-1,0,1981,"gray40","orange",0.5,1,NA
"16",2141,2141,2005,2004.5,2005.5,0.0435747140472992,0.797987327618338,0.797987327618338,FALSE,"1",-1,0,2141,"gray40","orange",0.5,1,NA
"17",2025,2025,2006,2005.5,2006.5,0.0412138234216632,0.754752143123369,0.754752143123369,FALSE,"1",-1,0,2025,"gray40","orange",0.5,1,NA
"18",1931,1931,2007,2006.5,2007.5,0.0393006879146823,0.719716734998136,0.719716734998136,FALSE,"1",-1,0,1931,"gray40","orange",0.5,1,NA
"19",1951,1951,2008,2007.5,2008.5,0.0397077380225506,0.727171077152441,0.727171077152441,FALSE,"1",-1,0,1951,"gray40","orange",0.5,1,NA
"20",1967,1967,2009,2008.5,2009.5,0.0400333781088452,0.733134550875885,0.733134550875885,FALSE,"1",-1,0,1967,"gray40","orange",0.5,1,NA
"21",1994,1994,2010,2009.5,2010.5,0.0405828957544674,0.743197912784197,0.743197912784197,FALSE,"1",-1,0,1994,"gray40","orange",0.5,1,NA
"22",2167,2167,2011,2010.5,2011.5,0.044103879187528,0.807677972418934,0.807677972418934,FALSE,"1",-1,0,2167,"gray40","orange",0.5,1,NA
"23",2387,2387,2012,2011.5,2012.5,0.048581430374079,0.889675736116288,0.889675736116288,FALSE,"1",-1,0,2387,"gray40","orange",0.5,1,NA
"24",2656,2656,2013,2012.5,2013.5,0.0540562543249074,0.989936638091688,0.989936638091688,FALSE,"1",-1,0,2656,"gray40","orange",0.5,1,NA
"25",2683,2683,2014,2013.5,2014.5,0.0546057719705296,1,1,FALSE,"1",-1,0,2683,"gray40","orange",0.5,1,NA
"26",2406,2406,2015,2014.5,2015.5,0.0489681279765539,0.896757361162877,0.896757361162877,FALSE,"1",-1,0,2406,"gray40","orange",0.5,1,NA
"27",2288,2288,2016,2015.5,2016.5,0.0465665323401311,0.852776742452479,0.852776742452479,FALSE,"1",-1,0,2288,"gray40","orange",0.5,1,NA
"28",2135,2135,2017,2016.5,2017.5,0.0434525990149387,0.795751024972046,0.795751024972046,FALSE,"1",-1,0,2135,"gray40","orange",0.5,1,NA
"29",2091,2091,2018,2017.5,2018.5,0.0425570887776285,0.779351472232576,0.779351472232576,FALSE,"1",-1,0,2091,"gray40","orange",0.5,1,NA
"30",1931,1931,2019,2018.5,2019.5,0.0393006879146823,0.719716734998136,0.719716734998136,FALSE,"1",-1,0,1931,"gray40","orange",0.5,1,NA
"31",203,203,2020,2019.5,2020.5,0.00413155859486303,0.0756615728661946,0.0756615728661946,FALSE,"1",-1,0,203,"gray40","orange",0.5,1,NA
