"","BayesFactor","phrase"
"1",9023.219,"a positive trend"
"2",5970.005,"a numerical trend"
"3",4381.423,"an increasing trend"
"4",1990.345,"nominally significant"
"5",1316.155,"approaches statistical significance"
"6",363.942,"difference was apparent"
"7",338.012,"all but significant"
"8",198.302,"not quite significant"
"9",158.534,"failed to reach statistical significance"
"10",110.371,"did not quite reach statistical significance"
"11",77.931,"a decreasing trend"
"12",71.773,"potentially significant"
"13",67.242,"a slight trend"
"14",64.021,"just failed to reach statistical significance"
"15",50.918,"a definite trend"
"16",39.529,"significant tendency"
"17",27.582,"not yet significant"
"18",25.44,"possible significance"
"19",23.987,"a marginal trend"
"20",21.097,"nearly significant"
"21",19.737,"approaching significance"
"22",17.784,"trending towards significance"
"23",17.37,"uncertain significance"
"24",16.05,"not conventionally significant"
"25",15.456,"practically significant"
"26",15.041,"marginally statistically significant"
"27",11.327,"only slightly significant"
"28",9.989,"a statistical trend"
"29",7.63,"probably not significant"
"30",6.963,"a negative trend"
"31",6.835,"barely significant"
"32",5.804,"an overall trend"
"33",5.392,"slightly significant"
"34",4.91,"a reliable trend"
"35",4.451,"almost significant"
"36",4.24,"tended to be significant"
"37",3.985,"almost achieved significance"
"38",3.941,"trend significance level"
"39",3.766,"on the borderline of significance"
"40",3.748,"almost insignificant"
"41",3.515,"tendency toward significance"
"42",3.16,"a favorable trend"
"43",3.077,"not quite reach the level of significance"
"44",2.917,"almost statistically significant"
"45",2.874,"moderately significant"
"46",2.857,"approached conventional levels of significance"
"47",2.848,"not highly significant"
"48",2.751,"slight significance"
"49",2.739,"a notable trend"
"50",2.739,"just failing to reach statistical significance"
"51",2.713,"marginally nonsignificant"
"52",2.546,"just failed significance"
"53",2.484,"an observed trend"
"54",2.456,"possibly significant"
"55",2.372,"scarcely significant"
"56",2.335,"at the margin of statistical significance"
"57",2.314,"just failed to be significant"
"58",2.291,"an unexplained trend"
"59",2.253,"barely missed statistical significance"
"60",2.242,"weak significance"
"61",2.218,"modestly significant"
"62",2.048,"fairly significant"
"63",2.038,"not fully significant"
"64",1.981,"likely to be significant"
"65",1.957,"almost attained significance"
"66",1.953,"a statistical trend toward significance"
"67",1.933,"appeared to be marginally significant"
"68",1.887,"on the threshold of significance"
"69",1.866,"marginally insignificant"
"70",1.861,"a pronounced trend"
"71",1.84,"partly significant"
"72",1.805,"a suggestive trend"
"73",1.786,"an unfavorable trend"
"74",1.771,"a marginal trend toward significance"
"75",1.762,"not as significant"
"76",1.7,"close to the limit of significance"
"77",1.697,"a slightly increasing trend"
"78",1.664,"did not quite achieve significance"
"79",1.657,"somewhat significant"
"80",1.587,"probably significant"
"81",1.567,"approached significant"
"82",1.56,"at the limit of significance"
"83",1.546,"a possible trend"
"84",1.532,"near significance"
"85",1.532,"tendency toward statistical significance"
"86",1.508,"not strongly significant"
"87",1.465,"a significant trend"
"88",1.447,"marginally significant"
"89",1.425,"a weak trend"
"90",1.424,"near to statistical significance"
"91",1.397,"an important trend"
"92",1.379,"on the margin of significance"
"93",1.364,"close to the level of significance"
"94",1.357,"suggestively significant"
"95",1.349,"tended toward significance"
"96",1.335,"marginally significant tendency"
"97",1.321,"a small trend"
"98",1.295,"an unexpected trend"
"99",1.287,"an encouraging trend"
"100",1.283,"a mild trend"
"101",1.263,"an expected trend"
"102",1.232,"near-significant"
"103",1.229,"very nearly significant"
"104",1.228,"just short of significance"
"105",1.224,"not clearly significant"
"106",1.204,"fell short of significance"
"107",1.176,"very close to significant"
"108",1.166,"not formally significant"
"109",1.158,"nearing significance"
"110",1.147,"an apparent trend"
"111",1.142,"significantly significant"
"112",1.132,"reasonably significant"
"113",1.111,"a near-significant trend"
"114",1.11,"a marked trend"
"115",1.108,"fell just short of statistical significance"
"116",1.103,"a borderline significant trend"
"117",1.1,"a strong trend"
"118",1.096,"an obvious trend"
"119",1.085,"an adverse trend"
"120",1.078,"reached near significance"
"121",1.072,"fell just short of significance"
"122",1.061,"only marginally significant"
"123",1.057,"weakly significant"
"124",1.055,"borderline level of statistical significance"
"125",1.044,"a strong trend toward significance"
"126",1.038,"not that significant"
"127",1.037,"an evident trend"
"128",1.036,"almost reached statistical significance"
"129",1.034,"strong trend toward significance"
"130",1.027,"a clear trend"
"131",1.026,"partially significant"
"132",1.018,"an interesting trend"
"133",1.012,"not very significant"
"134",1.009,"marginal significance"
"135",1.005,"not strictly significant"
"136",1.003,"a nonsignificant trend"
"137",1.003,"tend to significant"
"138",1,"reached borderline significance"
"139",1,"on the border of significance"
"140",1,"narrowly missed significance"
"141",1,"close to being significant"
